state,state_name,geo_id,population,agegroup,pct_pop
DC,District of Columbia,11,36900,Age 15 to 19 years,0.00946734509986638
DC,District of Columbia,11,52924,Age 20 to 24 years,0.0135785846088165
DC,District of Columbia,11,83096,Age 25 to 29 years,0.021319742775569
DC,District of Columbia,11,80991,Age 30 to 34 years,0.0207796679399262
DC,District of Columbia,11,62212,Age 35 to 39 years,0.0159615846437097
DC,District of Columbia,11,43462,Age 40 to 44 years,0.0111509418084117
DC,District of Columbia,11,38787,Age 45 to 49 years,0.00995148819481077
DC,District of Columbia,11,36666,Age 50 to 54 years,0.00940730827728186
DC,District of Columbia,11,36676,Age 55 to 59 years,0.00940987395346069
DC,District of Columbia,11,33626,Age 60 to 64 years,0.00862734271891889
DC,District of Columbia,11,27984,Age 65 to 69 years,0.0071797882188255
DC,District of Columbia,11,21120,Age 70 to 74 years,0.00541870808967962
DC,District of Columbia,11,14419,Age 75 to 79 years,0.0036994484822486
DC,District of Columbia,11,9627,Age 80 to 84 years,0.00246997645735538
DC,District of Columbia,11,12153,Age 85 years and older,0.00311806626012672
FL,Florida,12,1143183,Age 0 to 4 years,0.0536722642618956
FL,Florida,12,1157587,Age 5 to 9 years,0.0543485298243019
FL,Florida,12,1206247,Age 10 to 14 years,0.0566331092651997
FL,Florida,12,1206422,Age 15 to 19 years,0.0566413254880143
FL,Florida,12,1269823,Age 20 to 24 years,0.059617992588967
FL,Florida,12,1436477,Age 25 to 29 years,0.0674423720000516
FL,Florida,12,1351778,Age 30 to 34 years,0.0634657671076431
FL,Florida,12,1318582,Age 35 to 39 years,0.0619072200644856
FL,Florida,12,1250182,Age 40 to 44 years,0.058695850690104
FL,Florida,12,1351855,Age 45 to 49 years,0.0634693822456815
FL,Florida,12,1394517,Age 50 to 54 years,0.0654723565183404
FL,Florida,12,1470580,Age 55 to 59 years,0.0690435025523109
FL,Florida,12,1384021,Age 60 to 64 years,0.0649795709488446
FL,Florida,12,1271880,Age 65 to 69 years,0.0597145684194217
FL,Florida,12,1126022,Age 70 to 74 years,0.0528665579777763
FL,Florida,12,833186,Age 75 to 79 years,0.0391179532684721
FL,Florida,12,555564,Age 80 to 84 years,0.0260836434957446
FL,Florida,12,571419,Age 85 years and older,0.0268280332827449
GA,Georgia,13,657414,Age 0 to 4 years,0.0624949439016681
GA,Georgia,13,685904,Age 5 to 9 years,0.0652032539646703
GA,Georgia,13,727758,Age 10 to 14 years,0.0691819696325149
GA,Georgia,13,728370,Age 15 to 19 years,0.0692401474408181
GA,Georgia,13,716652,Age 20 to 24 years,0.0681262135230133
GA,Georgia,13,767745,Age 25 to 29 years,0.0729832049603236
GA,Georgia,13,705501,Age 30 to 34 years,0.0670661796334893
GA,Georgia,13,705228,Age 35 to 39 years,0.0670402277680207
GA,Georgia,13,667374,Age 40 to 44 years,0.0634417592132687
GA,Georgia,13,718419,Age 45 to 49 years,0.0682941876852219
GA,Georgia,13,693019,Age 50 to 54 years,0.0658796185170838
GA,Georgia,13,682347,Age 55 to 59 years,0.0648651192193527
GA,Georgia,13,603335,Age 60 to 64 years,0.0573540979944341
GA,Georgia,13,500976,Age 65 to 69 years,0.0476236694321722
GA,Georgia,13,394443,Age 70 to 74 years,0.0374964530073982
GA,Georgia,13,259740,Age 75 to 79 years,0.0246913462886693
GA,Georgia,13,158617,Age 80 to 84 years,0.0150784140843531
GA,Georgia,13,146633,Age 85 years and older,0.0139391937335276
HI,Hawaii,15,87704,Age 0 to 4 years,0.0617420314525048
HI,Hawaii,15,86869,Age 5 to 9 years,0.0611542065384434
HI,Hawaii,15,81954,Age 10 to 14 years,0.0576941353377107
HI,Hawaii,15,77179,Age 15 to 19 years,0.0543326216075991
HI,Hawaii,15,90951,Age 20 to 24 years,0.0640278607889807
HI,Hawaii,15,103977,Age 25 to 29 years,0.0731979294483386
HI,Hawaii,15,99029,Age 30 to 34 years,0.0697146268438167
HI,Hawaii,15,96796,Age 35 to 39 years,0.0681426351874106
HI,Hawaii,15,83714,Age 40 to 44 years,0.0589331435398042
HI,Hawaii,15,85505,Age 45 to 49 years,0.0601939751818209
HI,Hawaii,15,85119,Age 50 to 54 years,0.05992223815568
HI,Hawaii,15,90807,Age 55 to 59 years,0.0639264873906276
HI,Hawaii,15,89920,Age 60 to 64 years,0.0633020554160498
HI,Hawaii,15,82492,Age 65 to 69 years,0.0580728776176688
HI,Hawaii,15,66441,Age 70 to 74 years,0.0467732636109627
HI,Hawaii,15,42395,Age 75 to 79 years,0.0298453140498602
HI,Hawaii,15,28595,Age 80 to 84 years,0.0201303633743544
HI,Hawaii,15,41044,Age 85 years and older,0.0288942344583669
ID,Idaho,16,116339,Age 0 to 4 years,0.0663199574964884
ID,Idaho,16,122965,Age 5 to 9 years,0.0700971606559769
ID,Idaho,16,131036,Age 10 to 14 years,0.0746980973749977
ID,Idaho,16,124506,Age 15 to 19 years,0.0709756197668692
ID,Idaho,16,114894,Age 20 to 24 years,0.0654962239369562
ID,Idaho,16,119176,Age 25 to 29 years,0.0679372115507397
ID,Idaho,16,112206,Age 30 to 34 years,0.0639639084988781
ID,Idaho,16,115383,Age 35 to 39 years,0.0657749822141958
ID,Idaho,16,104646,Age 40 to 44 years,0.0596542713292836
ID,Idaho,16,101672,Age 45 to 49 years,0.0579589193527791
ID,Idaho,16,98253,Age 50 to 54 years,0.0560098916434083
ID,Idaho,16,108608,Age 55 to 59 years,0.0619128404385341
ID,Idaho,16,106242,Age 60 to 64 years,0.0605640836206425
ID,Idaho,16,94545,Age 65 to 69 years,0.053896117222131
ID,Idaho,16,73696,Age 70 to 74 years,0.0420109815939729
ID,Idaho,16,50168,Age 75 to 79 years,0.0285986610481767
ID,Idaho,16,30454,Age 80 to 84 years,0.0173605410532844
ID,Idaho,16,29419,Age 85 years and older,0.0167705312026852
IL,Illinois,17,760619,Age 0 to 4 years,0.0596981574560398
IL,Illinois,17,778102,Age 5 to 9 years,0.061070333127176
IL,Illinois,17,819148,Age 10 to 14 years,0.0642918810650275
IL,Illinois,17,828205,Age 15 to 19 years,0.0650027313226194
IL,Illinois,17,847502,Age 20 to 24 years,0.0665172811096077
IL,Illinois,17,903780,Age 25 to 29 years,0.070934332097436
IL,Illinois,17,866001,Age 30 to 34 years,0.0679691988434261
IL,Illinois,17,854521,Age 35 to 39 years,0.0670681763241421
IL,Illinois,17,785204,Age 40 to 44 years,0.0616277427031303
IL,Illinois,17,817893,Age 45 to 49 years,0.0641933807809071
IL,Illinois,17,821957,Age 50 to 54 years,0.0645123490316362
IL,Illinois,17,867598,Age 55 to 59 years,0.0680945414360478
IL,Illinois,17,797589,Age 60 to 64 years,0.0625997953077761
IL,Illinois,17,649574,Age 65 to 69 years,0.0509826482527384
IL,Illinois,17,492679,Age 70 to 74 years,0.0386685430120524
IL,Illinois,17,348421,Age 75 to 79 years,0.0273462689191183
IL,Illinois,17,235613,Age 80 to 84 years,0.0184923884003554
IL,Illinois,17,266674,Age 85 years and older,0.0209302508107633
IN,Indiana,18,418544,Age 0 to 4 years,0.0625450732963153
IN,Indiana,18,430106,Age 5 to 9 years,0.0642728394032288
