state,state_name,geo_id,population,agegroup,pct_pop
MN,Minnesota,27,360065,Age 20 to 24 years,0.0641692236159281
MN,Minnesota,27,376534,Age 25 to 29 years,0.0671042574118559
MN,Minnesota,27,384391,Age 30 to 34 years,0.068504497896075
MN,Minnesota,27,383690,Age 35 to 39 years,0.0683795687145251
MN,Minnesota,27,326575,Age 40 to 44 years,0.0582007809766896
MN,Minnesota,27,336922,Age 45 to 49 years,0.0600447784681259
MN,Minnesota,27,354569,Age 50 to 54 years,0.0631897503180704
MN,Minnesota,27,394922,Age 55 to 59 years,0.0703812870699723
MN,Minnesota,27,359523,Age 60 to 64 years,0.0640726307252005
MN,Minnesota,27,294482,Age 65 to 69 years,0.0524813056222231
MN,Minnesota,27,215698,Age 70 to 74 years,0.0384407626276046
MN,Minnesota,27,153154,Age 75 to 79 years,0.0272944420415032
MN,Minnesota,27,104784,Age 80 to 84 years,0.0186741502988944
MN,Minnesota,27,121684,Age 85 years and older,0.0216859950466738
MS,Mississippi,28,185477,Age 0 to 4 years,0.0621045159432519
MS,Mississippi,28,192967,Age 5 to 9 years,0.0646124432033162
MS,Mississippi,28,206927,Age 10 to 14 years,0.0692867642380957
MS,Mississippi,28,205933,Age 15 to 19 years,0.0689539365082554
MS,Mississippi,28,206761,Age 20 to 24 years,0.0692311813375389
MS,Mississippi,28,209411,Age 25 to 29 years,0.0701184987259462
MS,Mississippi,28,184895,Age 30 to 34 years,0.0619096409545526
MS,Mississippi,28,189869,Age 35 to 39 years,0.0635751189507556
MS,Mississippi,28,175129,Age 40 to 44 years,0.058639625250709
MS,Mississippi,28,184333,Age 45 to 49 years,0.0617214627008602
MS,Mississippi,28,184460,Age 50 to 54 years,0.0617639869681537
MS,Mississippi,28,198698,Age 55 to 59 years,0.0665313926195284
MS,Mississippi,28,187195,Age 60 to 64 years,0.0626797654803401
MS,Mississippi,28,157411,Age 65 to 69 years,0.0527069877081429
MS,Mississippi,28,123174,Age 70 to 74 years,0.0412431818866712
MS,Mississippi,28,85408,Age 75 to 79 years,0.0285977371732412
MS,Mississippi,28,56141,Age 80 to 84 years,0.018798070000971
MS,Mississippi,28,52341,Age 85 years and older,0.01752569034967
MO,Missouri,29,372713,Age 0 to 4 years,0.0608366800229562
MO,Missouri,29,377947,Age 5 to 9 years,0.0616910081071393
MO,Missouri,29,391940,Age 10 to 14 years,0.0639750380807684
MO,Missouri,29,391387,Age 15 to 19 years,0.063884773764652
MO,Missouri,29,409228,Age 20 to 24 years,0.0667968997390333
MO,Missouri,29,426568,Age 25 to 29 years,0.0696272491810921
MO,Missouri,29,396937,Age 30 to 34 years,0.0647906814580446
MO,Missouri,29,394342,Age 35 to 39 years,0.0643671084014043
MO,Missouri,29,350197,Age 40 to 44 years,0.0571614696401767
MO,Missouri,29,369939,Age 45 to 49 years,0.0603838894028714
MO,Missouri,29,381749,Age 50 to 54 years,0.0623115956837661
MO,Missouri,29,430286,Age 55 to 59 years,0.0702341257223594
MO,Missouri,29,399255,Age 60 to 64 years,0.0651690407433209
MO,Missouri,29,332509,Age 65 to 69 years,0.0542743173373431
MO,Missouri,29,260068,Age 70 to 74 years,0.0424500183793164
MO,Missouri,29,185960,Age 75 to 79 years,0.0303536206600492
MO,Missouri,29,123543,Age 80 to 84 years,0.0201655052549175
MO,Missouri,29,131884,Age 85 years and older,0.0215269784207891
MT,Montana,30,62536,Age 0 to 4 years,0.0588682158137258
MT,Montana,30,63526,Age 5 to 9 years,0.059800151557227
MT,Montana,30,65281,Age 10 to 14 years,0.0614522194661608
MT,Montana,30,64023,Age 15 to 19 years,0.0602680021274493
MT,Montana,30,72513,Age 20 to 24 years,0.0682600571398986
MT,Montana,30,71120,Age 25 to 29 years,0.066948757654346
MT,Montana,30,66343,Age 30 to 34 years,0.0624519323546439
MT,Montana,30,67394,Age 35 to 39 years,0.0634412904015325
MT,Montana,30,59002,Age 40 to 44 years,0.0555414876141974
MT,Montana,30,58886,Age 45 to 49 years,0.0554322911028377
MT,Montana,30,61392,Age 50 to 54 years,0.0577913122879022
MT,Montana,30,74523,Age 55 to 59 years,0.0701521691039767
MT,Montana,30,76864,Age 60 to 64 years,0.0723558676651244
MT,Montana,30,68722,Age 65 to 69 years,0.0646914021867543
MT,Montana,30,50861,Age 70 to 74 years,0.0478779634850631
MT,Montana,30,34678,Age 75 to 79 years,0.0326441088011447
MT,Montana,30,21946,Age 80 to 84 years,0.0206588503301782
MT,Montana,30,22695,Age 85 years and older,0.0213639209078372
NE,Nebraska,31,132968,Age 0 to 4 years,0.0689214769539535
NE,Nebraska,31,132340,Age 5 to 9 years,0.0685959648944574
NE,Nebraska,31,133482,Age 10 to 14 years,0.0691878992446876
NE,Nebraska,31,131579,Age 15 to 19 years,0.0682015147714055
NE,Nebraska,31,137180,Age 20 to 24 years,0.0711046884103194
NE,Nebraska,31,128475,Age 25 to 29 years,0.0665926144009023
NE,Nebraska,31,127248,Age 30 to 34 years,0.065956621889753
NE,Nebraska,31,128339,Age 35 to 39 years,0.0665221213434318
NE,Nebraska,31,110972,Age 40 to 44 years,0.0575202615707097
NE,Nebraska,31,109690,Age 45 to 49 years,0.0568557608377893
NE,Nebraska,31,110281,Age 50 to 54 years,0.057162094639003
NE,Nebraska,31,125547,Age 55 to 59 years,0.0650749403400668
NE,Nebraska,31,117501,Age 60 to 64 years,0.0609044466605987
NE,Nebraska,31,99312,Age 65 to 69 years,0.0514765185552241
NE,Nebraska,31,73215,Age 70 to 74 years,0.0379496264904617
NE,Nebraska,31,51194,Age 75 to 79 years,0.0265354528245946
NE,Nebraska,31,36867,Age 80 to 84 years,0.0191093202188602
NE,Nebraska,31,43078,Age 85 years and older,0.0223286759537814
NV,Nevada,32,185995,Age 0 to 4 years,0.0612956401150544
