state_name,year,week,weighted_ili,unweighted_ili,age_0_4,age_25_49,age_25_64,age_5_24,age_50_64,age_65,ilitotal,num_of_providers,total_patients,week_start,week_yr,state
Commonwealth of the Northern Mariana Islands,2019,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-29,2019-40,NA
Puerto Rico,2019,40,NA,8.41338,NA,NA,NA,NA,NA,NA,254,7,3019,2019-09-29,2019-40,PR
Virgin Islands,2019,40,NA,1.4218,NA,NA,NA,NA,NA,NA,12,4,844,2019-09-29,2019-40,VI
New York City,2019,40,NA,1.56645,NA,NA,NA,NA,NA,NA,1543,80,98503,2019-09-29,2019-40,NA
Alabama,2019,41,NA,1.8918,NA,NA,NA,NA,NA,NA,862,97,45565,2019-10-06,2019-41,AL
Alaska,2019,41,NA,2.3322,NA,NA,NA,NA,NA,NA,123,18,5274,2019-10-06,2019-41,AK
Arizona,2019,41,NA,1.19067,NA,NA,NA,NA,NA,NA,144,28,12094,2019-10-06,2019-41,AZ
Arkansas,2019,41,NA,1.87593,NA,NA,NA,NA,NA,NA,101,15,5384,2019-10-06,2019-41,AR
California,2019,41,NA,1.51748,NA,NA,NA,NA,NA,NA,828,114,54564,2019-10-06,2019-41,CA
Colorado,2019,41,NA,2.51736,NA,NA,NA,NA,NA,NA,957,70,38016,2019-10-06,2019-41,CO
Connecticut,2019,41,NA,1.57002,NA,NA,NA,NA,NA,NA,662,80,42165,2019-10-06,2019-41,CT
Delaware,2019,41,NA,0.0737463,NA,NA,NA,NA,NA,NA,1,6,1356,2019-10-06,2019-41,DE
District of Columbia,2019,41,NA,1.47099,NA,NA,NA,NA,NA,NA,215,5,14616,2019-10-06,2019-41,DC
Florida,2019,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-06,2019-41,FL
Georgia,2019,41,NA,2.46907,NA,NA,NA,NA,NA,NA,1946,93,78815,2019-10-06,2019-41,GA
Hawaii,2019,41,NA,2.30917,NA,NA,NA,NA,NA,NA,72,19,3118,2019-10-06,2019-41,HI
Idaho,2019,41,NA,0.551572,NA,NA,NA,NA,NA,NA,10,7,1813,2019-10-06,2019-41,ID
Illinois,2019,41,NA,1.62847,NA,NA,NA,NA,NA,NA,1159,180,71171,2019-10-06,2019-41,IL
Indiana,2019,41,NA,1.11703,NA,NA,NA,NA,NA,NA,65,26,5819,2019-10-06,2019-41,IN
Iowa,2019,41,NA,0.788927,NA,NA,NA,NA,NA,NA,57,19,7225,2019-10-06,2019-41,IA
Kansas,2019,41,NA,1.24696,NA,NA,NA,NA,NA,NA,169,30,13553,2019-10-06,2019-41,KS
Kentucky,2019,41,NA,1.00082,NA,NA,NA,NA,NA,NA,110,35,10991,2019-10-06,2019-41,KY
Louisiana,2019,41,NA,4.32761,NA,NA,NA,NA,NA,NA,2318,98,53563,2019-10-06,2019-41,LA
Maine,2019,41,NA,0.894029,NA,NA,NA,NA,NA,NA,143,55,15995,2019-10-06,2019-41,ME
Maryland,2019,41,NA,1.44965,NA,NA,NA,NA,NA,NA,734,73,50633,2019-10-06,2019-41,MD
Massachusetts,2019,41,NA,1.0167,NA,NA,NA,NA,NA,NA,599,73,58916,2019-10-06,2019-41,MA
Michigan,2019,41,NA,0.924962,NA,NA,NA,NA,NA,NA,231,76,24974,2019-10-06,2019-41,MI
Minnesota,2019,41,NA,2.33836,NA,NA,NA,NA,NA,NA,183,21,7826,2019-10-06,2019-41,MN
Mississippi,2019,41,NA,2.03907,NA,NA,NA,NA,NA,NA,357,46,17508,2019-10-06,2019-41,MS
Missouri,2019,41,NA,0.35482,NA,NA,NA,NA,NA,NA,12,16,3382,2019-10-06,2019-41,MO
Montana,2019,41,NA,0.799842,NA,NA,NA,NA,NA,NA,81,40,10127,2019-10-06,2019-41,MT
Nebraska,2019,41,NA,1.85789,NA,NA,NA,NA,NA,NA,211,67,11357,2019-10-06,2019-41,NE
Nevada,2019,41,NA,0.819311,NA,NA,NA,NA,NA,NA,93,31,11351,2019-10-06,2019-41,NV
New Hampshire,2019,41,NA,0.186047,NA,NA,NA,NA,NA,NA,4,13,2150,2019-10-06,2019-41,NH
New Jersey,2019,41,NA,2.03954,NA,NA,NA,NA,NA,NA,653,41,32017,2019-10-06,2019-41,NJ
New Mexico,2019,41,NA,1.12857,NA,NA,NA,NA,NA,NA,260,50,23038,2019-10-06,2019-41,NM
New York,2019,41,NA,1.00583,NA,NA,NA,NA,NA,NA,587,135,58360,2019-10-06,2019-41,NY
North Carolina,2019,41,NA,1.06707,NA,NA,NA,NA,NA,NA,1148,157,107584,2019-10-06,2019-41,NC
North Dakota,2019,41,NA,0.966184,NA,NA,NA,NA,NA,NA,36,14,3726,2019-10-06,2019-41,ND
Ohio,2019,41,NA,0.668931,NA,NA,NA,NA,NA,NA,130,49,19434,2019-10-06,2019-41,OH
Oklahoma,2019,41,NA,1.6426,NA,NA,NA,NA,NA,NA,157,28,9558,2019-10-06,2019-41,OK
Oregon,2019,41,NA,1.05688,NA,NA,NA,NA,NA,NA,453,96,42862,2019-10-06,2019-41,OR
Pennsylvania,2019,41,NA,1.01494,NA,NA,NA,NA,NA,NA,521,124,51333,2019-10-06,2019-41,PA
Rhode Island,2019,41,NA,0.372787,NA,NA,NA,NA,NA,NA,24,23,6438,2019-10-06,2019-41,RI
South Carolina,2019,41,NA,2.01056,NA,NA,NA,NA,NA,NA,217,25,10793,2019-10-06,2019-41,SC
South Dakota,2019,41,NA,0.596352,NA,NA,NA,NA,NA,NA,102,32,17104,2019-10-06,2019-41,SD
Tennessee,2019,41,NA,1.62558,NA,NA,NA,NA,NA,NA,668,86,41093,2019-10-06,2019-41,TN
Texas,2019,41,NA,2.54297,NA,NA,NA,NA,NA,NA,759,116,29847,2019-10-06,2019-41,TX
Utah,2019,41,NA,1.39894,NA,NA,NA,NA,NA,NA,288,53,20587,2019-10-06,2019-41,UT
Vermont,2019,41,NA,0.65842,NA,NA,NA,NA,NA,NA,33,17,5012,2019-10-06,2019-41,VT
Virginia,2019,41,NA,1.76111,NA,NA,NA,NA,NA,NA,1793,161,101811,2019-10-06,2019-41,VA
Washington,2019,41,NA,1.20809,NA,NA,NA,NA,NA,NA,258,57,21356,2019-10-06,2019-41,WA
West Virginia,2019,41,NA,0.986125,NA,NA,NA,NA,NA,NA,172,54,17442,2019-10-06,2019-41,WV
Wisconsin,2019,41,NA,1.39858,NA,NA,NA,NA,NA,NA,387,47,27671,2019-10-06,2019-41,WI
Wyoming,2019,41,NA,0.878697,NA,NA,NA,NA,NA,NA,41,20,4666,2019-10-06,2019-41,WY
Commonwealth of the Northern Mariana Islands,2019,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-06,2019-41,NA
Puerto Rico,2019,41,NA,7.23751,NA,NA,NA,NA,NA,NA,284,7,3924,2019-10-06,2019-41,PR
Virgin Islands,2019,41,NA,1.67665,NA,NA,NA,NA,NA,NA,14,4,835,2019-10-06,2019-41,VI
New York City,2019,41,NA,1.49829,NA,NA,NA,NA,NA,NA,1443,76,96310,2019-10-06,2019-41,NA
Alabama,2019,42,NA,2.20263,NA,NA,NA,NA,NA,NA,947,97,42994,2019-10-13,2019-42,AL
Alaska,2019,42,NA,1.51976,NA,NA,NA,NA,NA,NA,80,18,5264,2019-10-13,2019-42,AK
Arizona,2019,42,NA,1.30135,NA,NA,NA,NA,NA,NA,147,27,11296,2019-10-13,2019-42,AZ
Arkansas,2019,42,NA,2.03568,NA,NA,NA,NA,NA,NA,97,14,4765,2019-10-13,2019-42,AR
California,2019,42,NA,1.64009,NA,NA,NA,NA,NA,NA,898,118,54753,2019-10-13,2019-42,CA
Colorado,2019,42,NA,2.5526,NA,NA,NA,NA,NA,NA,979,70,38353,2019-10-13,2019-42,CO
Connecticut,2019,42,NA,1.79399,NA,NA,NA,NA,NA,NA,732,80,40803,2019-10-13,2019-42,CT
Delaware,2019,42,NA,0,NA,NA,NA,NA,NA,NA,0,6,1325,2019-10-13,2019-42,DE
District of Columbia,2019,42,NA,1.60263,NA,NA,NA,NA,NA,NA,224,5,13977,2019-10-13,2019-42,DC
Florida,2019,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-13,2019-42,FL
Georgia,2019,42,NA,2.52376,NA,NA,NA,NA,NA,NA,1981,95,78494,2019-10-13,2019-42,GA
Hawaii,2019,42,NA,2.59965,NA,NA,NA,NA,NA,NA,75,19,2885,2019-10-13,2019-42,HI
Idaho,2019,42,NA,0.448654,NA,NA,NA,NA,NA,NA,9,8,2006,2019-10-13,2019-42,ID
Illinois,2019,42,NA,1.74196,NA,NA,NA,NA,NA,NA,1350,181,77499,2019-10-13,2019-42,IL
Indiana,2019,42,NA,0.853706,NA,NA,NA,NA,NA,NA,44,25,5154,2019-10-13,2019-42,IN
Iowa,2019,42,NA,0.842804,NA,NA,NA,NA,NA,NA,66,19,7831,2019-10-13,2019-42,IA
Kansas,2019,42,NA,1.28422,NA,NA,NA,NA,NA,NA,182,30,14172,2019-10-13,2019-42,KS
Kentucky,2019,42,NA,1.41443,NA,NA,NA,NA,NA,NA,190,37,13433,2019-10-13,2019-42,KY
Louisiana,2019,42,NA,4.76414,NA,NA,NA,NA,NA,NA,2534,98,53189,2019-10-13,2019-42,LA
Maine,2019,42,NA,0.935829,NA,NA,NA,NA,NA,NA,147,55,15708,2019-10-13,2019-42,ME
Maryland,2019,42,NA,1.34313,NA,NA,NA,NA,NA,NA,649,74,48320,2019-10-13,2019-42,MD
Massachusetts,2019,42,NA,1.05407,NA,NA,NA,NA,NA,NA,632,78,59958,2019-10-13,2019-42,MA
Michigan,2019,42,NA,0.947571,NA,NA,NA,NA,NA,NA,227,75,23956,2019-10-13,2019-42,MI
Minnesota,2019,42,NA,2.21124,NA,NA,NA,NA,NA,NA,179,21,8095,2019-10-13,2019-42,MN
Mississippi,2019,42,NA,2.07059,NA,NA,NA,NA,NA,NA,369,46,17821,2019-10-13,2019-42,MS
Missouri,2019,42,NA,0.56164,NA,NA,NA,NA,NA,NA,20,15,3561,2019-10-13,2019-42,MO
Montana,2019,42,NA,0.682563,NA,NA,NA,NA,NA,NA,75,41,10988,2019-10-13,2019-42,MT
Nebraska,2019,42,NA,2.30471,NA,NA,NA,NA,NA,NA,285,66,12366,2019-10-13,2019-42,NE
Nevada,2019,42,NA,1.22039,NA,NA,NA,NA,NA,NA,136,31,11144,2019-10-13,2019-42,NV
New Hampshire,2019,42,NA,0.416281,NA,NA,NA,NA,NA,NA,9,13,2162,2019-10-13,2019-42,NH
New Jersey,2019,42,NA,2.56547,NA,NA,NA,NA,NA,NA,819,41,31924,2019-10-13,2019-42,NJ
New Mexico,2019,42,NA,1.40313,NA,NA,NA,NA,NA,NA,338,52,24089,2019-10-13,2019-42,NM
New York,2019,42,NA,1.09797,NA,NA,NA,NA,NA,NA,622,136,56650,2019-10-13,2019-42,NY
