state_name,year,week,weighted_ili,unweighted_ili,age_0_4,age_25_49,age_25_64,age_5_24,age_50_64,age_65,ilitotal,num_of_providers,total_patients,week_start,week_yr,state
Alaska,2019,44,NA,1.51358,NA,NA,NA,NA,NA,NA,73,17,4823,2019-10-27,2019-44,AK
Arizona,2019,44,NA,1.40129,NA,NA,NA,NA,NA,NA,182,27,12988,2019-10-27,2019-44,AZ
Arkansas,2019,44,NA,2.38727,NA,NA,NA,NA,NA,NA,117,15,4901,2019-10-27,2019-44,AR
California,2019,44,NA,1.87471,NA,NA,NA,NA,NA,NA,1016,119,54195,2019-10-27,2019-44,CA
Colorado,2019,44,NA,2.7934,NA,NA,NA,NA,NA,NA,919,70,32899,2019-10-27,2019-44,CO
Connecticut,2019,44,NA,1.81377,NA,NA,NA,NA,NA,NA,762,85,42012,2019-10-27,2019-44,CT
Delaware,2019,44,NA,0.437318,NA,NA,NA,NA,NA,NA,6,6,1372,2019-10-27,2019-44,DE
District of Columbia,2019,44,NA,1.75464,NA,NA,NA,NA,NA,NA,246,5,14020,2019-10-27,2019-44,DC
Florida,2019,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-27,2019-44,FL
Georgia,2019,44,NA,3.36307,NA,NA,NA,NA,NA,NA,2571,92,76448,2019-10-27,2019-44,GA
Hawaii,2019,44,NA,2.73063,NA,NA,NA,NA,NA,NA,74,18,2710,2019-10-27,2019-44,HI
Idaho,2019,44,NA,1.00503,NA,NA,NA,NA,NA,NA,18,7,1791,2019-10-27,2019-44,ID
Illinois,2019,44,NA,1.82622,NA,NA,NA,NA,NA,NA,1537,194,84163,2019-10-27,2019-44,IL
Indiana,2019,44,NA,1.38889,NA,NA,NA,NA,NA,NA,75,25,5400,2019-10-27,2019-44,IN
Iowa,2019,44,NA,0.939029,NA,NA,NA,NA,NA,NA,71,20,7561,2019-10-27,2019-44,IA
Kansas,2019,44,NA,1.53271,NA,NA,NA,NA,NA,NA,201,31,13114,2019-10-27,2019-44,KS
Kentucky,2019,44,NA,1.93466,NA,NA,NA,NA,NA,NA,257,43,13284,2019-10-27,2019-44,KY
Louisiana,2019,44,NA,6.67142,NA,NA,NA,NA,NA,NA,3552,101,53242,2019-10-27,2019-44,LA
Maine,2019,44,NA,0.933496,NA,NA,NA,NA,NA,NA,145,55,15533,2019-10-27,2019-44,ME
Maryland,2019,44,NA,1.65202,NA,NA,NA,NA,NA,NA,825,72,49939,2019-10-27,2019-44,MD
Massachusetts,2019,44,NA,1.06684,NA,NA,NA,NA,NA,NA,648,78,60740,2019-10-27,2019-44,MA
Michigan,2019,44,NA,0.990705,NA,NA,NA,NA,NA,NA,259,78,26143,2019-10-27,2019-44,MI
Minnesota,2019,44,NA,2.40882,NA,NA,NA,NA,NA,NA,177,20,7348,2019-10-27,2019-44,MN
Mississippi,2019,44,NA,2.62253,NA,NA,NA,NA,NA,NA,465,47,17731,2019-10-27,2019-44,MS
Missouri,2019,44,NA,0.960096,NA,NA,NA,NA,NA,NA,32,14,3333,2019-10-27,2019-44,MO
Montana,2019,44,NA,0.796503,NA,NA,NA,NA,NA,NA,82,42,10295,2019-10-27,2019-44,MT
Nebraska,2019,44,NA,2.07411,NA,NA,NA,NA,NA,NA,239,67,11523,2019-10-27,2019-44,NE
Nevada,2019,44,NA,1.64921,NA,NA,NA,NA,NA,NA,189,32,11460,2019-10-27,2019-44,NV
New Hampshire,2019,44,NA,0.640478,NA,NA,NA,NA,NA,NA,15,13,2342,2019-10-27,2019-44,NH
New Jersey,2019,44,NA,2.62045,NA,NA,NA,NA,NA,NA,799,40,30491,2019-10-27,2019-44,NJ
New Mexico,2019,44,NA,1.62342,NA,NA,NA,NA,NA,NA,366,50,22545,2019-10-27,2019-44,NM
New York,2019,44,NA,1.23284,NA,NA,NA,NA,NA,NA,712,138,57753,2019-10-27,2019-44,NY
North Carolina,2019,44,NA,1.28462,NA,NA,NA,NA,NA,NA,1409,169,109682,2019-10-27,2019-44,NC
North Dakota,2019,44,NA,1.26832,NA,NA,NA,NA,NA,NA,45,15,3548,2019-10-27,2019-44,ND
Ohio,2019,44,NA,0.86353,NA,NA,NA,NA,NA,NA,158,50,18297,2019-10-27,2019-44,OH
Oklahoma,2019,44,NA,2.42398,NA,NA,NA,NA,NA,NA,228,28,9406,2019-10-27,2019-44,OK
Oregon,2019,44,NA,1.16815,NA,NA,NA,NA,NA,NA,479,99,41005,2019-10-27,2019-44,OR
Pennsylvania,2019,44,NA,1.2018,NA,NA,NA,NA,NA,NA,638,126,53087,2019-10-27,2019-44,PA
Rhode Island,2019,44,NA,0.326391,NA,NA,NA,NA,NA,NA,21,23,6434,2019-10-27,2019-44,RI
South Carolina,2019,44,NA,2.50265,NA,NA,NA,NA,NA,NA,236,26,9430,2019-10-27,2019-44,SC
South Dakota,2019,44,NA,0.782453,NA,NA,NA,NA,NA,NA,127,31,16231,2019-10-27,2019-44,SD
Tennessee,2019,44,NA,2.14267,NA,NA,NA,NA,NA,NA,881,88,41117,2019-10-27,2019-44,TN
Texas,2019,44,NA,3.70212,NA,NA,NA,NA,NA,NA,1124,121,30361,2019-10-27,2019-44,TX
Utah,2019,44,NA,1.77771,NA,NA,NA,NA,NA,NA,337,53,18957,2019-10-27,2019-44,UT
Vermont,2019,44,NA,0.955005,NA,NA,NA,NA,NA,NA,52,17,5445,2019-10-27,2019-44,VT
Virginia,2019,44,NA,2.09611,NA,NA,NA,NA,NA,NA,2085,159,99470,2019-10-27,2019-44,VA
Washington,2019,44,NA,1.27472,NA,NA,NA,NA,NA,NA,263,58,20632,2019-10-27,2019-44,WA
West Virginia,2019,44,NA,1.22906,NA,NA,NA,NA,NA,NA,201,53,16354,2019-10-27,2019-44,WV
Wisconsin,2019,44,NA,1.46941,NA,NA,NA,NA,NA,NA,385,45,26201,2019-10-27,2019-44,WI
Wyoming,2019,44,NA,1.15546,NA,NA,NA,NA,NA,NA,55,21,4760,2019-10-27,2019-44,WY
Commonwealth of the Northern Mariana Islands,2019,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-27,2019-44,NA
Puerto Rico,2019,44,NA,5.73197,NA,NA,NA,NA,NA,NA,213,9,3716,2019-10-27,2019-44,PR
Virgin Islands,2019,44,NA,1.08844,NA,NA,NA,NA,NA,NA,8,3,735,2019-10-27,2019-44,VI
New York City,2019,44,NA,2.00445,NA,NA,NA,NA,NA,NA,1965,73,98032,2019-10-27,2019-44,NA
Alabama,2019,45,NA,3.3596,NA,NA,NA,NA,NA,NA,1603,98,47714,2019-11-03,2019-45,AL
Alaska,2019,45,NA,2.40385,NA,NA,NA,NA,NA,NA,115,18,4784,2019-11-03,2019-45,AK
Arizona,2019,45,NA,2.58722,NA,NA,NA,NA,NA,NA,376,30,14533,2019-11-03,2019-45,AZ
Arkansas,2019,45,NA,2.61617,NA,NA,NA,NA,NA,NA,134,15,5122,2019-11-03,2019-45,AR
California,2019,45,NA,2.19898,NA,NA,NA,NA,NA,NA,1253,122,56981,2019-11-03,2019-45,CA
Colorado,2019,45,NA,2.6835,NA,NA,NA,NA,NA,NA,982,70,36594,2019-11-03,2019-45,CO
Connecticut,2019,45,NA,2.02184,NA,NA,NA,NA,NA,NA,811,77,40112,2019-11-03,2019-45,CT
Delaware,2019,45,NA,0.1554,NA,NA,NA,NA,NA,NA,2,6,1287,2019-11-03,2019-45,DE
District of Columbia,2019,45,NA,1.87777,NA,NA,NA,NA,NA,NA,275,5,14645,2019-11-03,2019-45,DC
Florida,2019,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-03,2019-45,FL
Georgia,2019,45,NA,3.91387,NA,NA,NA,NA,NA,NA,3168,94,80943,2019-11-03,2019-45,GA
Hawaii,2019,45,NA,2.03448,NA,NA,NA,NA,NA,NA,59,18,2900,2019-11-03,2019-45,HI
Idaho,2019,45,NA,0.777706,NA,NA,NA,NA,NA,NA,12,7,1543,2019-11-03,2019-45,ID
Illinois,2019,45,NA,1.86087,NA,NA,NA,NA,NA,NA,1590,193,85444,2019-11-03,2019-45,IL
Indiana,2019,45,NA,1.44112,NA,NA,NA,NA,NA,NA,82,26,5690,2019-11-03,2019-45,IN
Iowa,2019,45,NA,1.0789,NA,NA,NA,NA,NA,NA,83,20,7693,2019-11-03,2019-45,IA
Kansas,2019,45,NA,1.48686,NA,NA,NA,NA,NA,NA,215,32,14460,2019-11-03,2019-45,KS
Kentucky,2019,45,NA,2.08395,NA,NA,NA,NA,NA,NA,283,43,13580,2019-11-03,2019-45,KY
Louisiana,2019,45,NA,8.44111,NA,NA,NA,NA,NA,NA,4719,104,55905,2019-11-03,2019-45,LA
Maine,2019,45,NA,0.934091,NA,NA,NA,NA,NA,NA,143,55,15309,2019-11-03,2019-45,ME
Maryland,2019,45,NA,1.85614,NA,NA,NA,NA,NA,NA,913,72,49188,2019-11-03,2019-45,MD
Massachusetts,2019,45,NA,1.22268,NA,NA,NA,NA,NA,NA,754,78,61668,2019-11-03,2019-45,MA
Michigan,2019,45,NA,0.998877,NA,NA,NA,NA,NA,NA,258,81,25829,2019-11-03,2019-45,MI
Minnesota,2019,45,NA,2.27738,NA,NA,NA,NA,NA,NA,178,20,7816,2019-11-03,2019-45,MN
Mississippi,2019,45,NA,4.07347,NA,NA,NA,NA,NA,NA,774,46,19001,2019-11-03,2019-45,MS
Missouri,2019,45,NA,0.796601,NA,NA,NA,NA,NA,NA,30,15,3766,2019-11-03,2019-45,MO
Montana,2019,45,NA,0.930997,NA,NA,NA,NA,NA,NA,102,41,10956,2019-11-03,2019-45,MT
Nebraska,2019,45,NA,2.36472,NA,NA,NA,NA,NA,NA,274,65,11587,2019-11-03,2019-45,NE
Nevada,2019,45,NA,2.36328,NA,NA,NA,NA,NA,NA,293,32,12398,2019-11-03,2019-45,NV
New Hampshire,2019,45,NA,0.957156,NA,NA,NA,NA,NA,NA,21,13,2194,2019-11-03,2019-45,NH
New Jersey,2019,45,NA,2.78597,NA,NA,NA,NA,NA,NA,869,41,31192,2019-11-03,2019-45,NJ
New Mexico,2019,45,NA,2.01753,NA,NA,NA,NA,NA,NA,495,51,24535,2019-11-03,2019-45,NM
New York,2019,45,NA,1.29974,NA,NA,NA,NA,NA,NA,734,137,56473,2019-11-03,2019-45,NY
North Carolina,2019,45,NA,1.48144,NA,NA,NA,NA,NA,NA,1548,169,104493,2019-11-03,2019-45,NC
North Dakota,2019,45,NA,1.46671,NA,NA,NA,NA,NA,NA,50,12,3409,2019-11-03,2019-45,ND
Ohio,2019,45,NA,0.960314,NA,NA,NA,NA,NA,NA,196,51,20410,2019-11-03,2019-45,OH
Oklahoma,2019,45,NA,2.69122,NA,NA,NA,NA,NA,NA,266,30,9884,2019-11-03,2019-45,OK
Oregon,2019,45,NA,1.26008,NA,NA,NA,NA,NA,NA,514,97,40791,2019-11-03,2019-45,OR
Pennsylvania,2019,45,NA,1.42162,NA,NA,NA,NA,NA,NA,736,130,51772,2019-11-03,2019-45,PA
Rhode Island,2019,45,NA,0.228973,NA,NA,NA,NA,NA,NA,15,23,6551,2019-11-03,2019-45,RI
South Carolina,2019,45,NA,3.33957,NA,NA,NA,NA,NA,NA,339,26,10151,2019-11-03,2019-45,SC
South Dakota,2019,45,NA,0.804734,NA,NA,NA,NA,NA,NA,136,31,16900,2019-11-03,2019-45,SD
Tennessee,2019,45,NA,2.60294,NA,NA,NA,NA,NA,NA,1093,89,41991,2019-11-03,2019-45,TN
Texas,2019,45,NA,4.73487,NA,NA,NA,NA,NA,NA,1501,116,31701,2019-11-03,2019-45,TX
Utah,2019,45,NA,2.24445,NA,NA,NA,NA,NA,NA,451,52,20094,2019-11-03,2019-45,UT
Vermont,2019,45,NA,1.18386,NA,NA,NA,NA,NA,NA,66,17,5575,2019-11-03,2019-45,VT
Virginia,2019,45,NA,2.20508,NA,NA,NA,NA,NA,NA,2196,162,99588,2019-11-03,2019-45,VA
Washington,2019,45,NA,1.38184,NA,NA,NA,NA,NA,NA,245,58,17730,2019-11-03,2019-45,WA
West Virginia,2019,45,NA,1.41958,NA,NA,NA,NA,NA,NA,257,54,18104,2019-11-03,2019-45,WV
Wisconsin,2019,45,NA,1.67668,NA,NA,NA,NA,NA,NA,441,47,26302,2019-11-03,2019-45,WI
Wyoming,2019,45,NA,1.0495,NA,NA,NA,NA,NA,NA,53,21,5050,2019-11-03,2019-45,WY
Commonwealth of the Northern Mariana Islands,2019,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-03,2019-45,NA
Puerto Rico,2019,45,NA,5.19816,NA,NA,NA,NA,NA,NA,282,12,5425,2019-11-03,2019-45,PR
Virgin Islands,2019,45,NA,1.22699,NA,NA,NA,NA,NA,NA,8,2,652,2019-11-03,2019-45,VI
New York City,2019,45,NA,2.31827,NA,NA,NA,NA,NA,NA,2302,76,99298,2019-11-03,2019-45,NA
Alabama,2019,46,NA,3.65487,NA,NA,NA,NA,NA,NA,1724,97,47170,2019-11-10,2019-46,AL
Alaska,2019,46,NA,2.78923,NA,NA,NA,NA,NA,NA,115,17,4123,2019-11-10,2019-46,AK
Arizona,2019,46,NA,2.86685,NA,NA,NA,NA,NA,NA,405,30,14127,2019-11-10,2019-46,AZ
Arkansas,2019,46,NA,3.72257,NA,NA,NA,NA,NA,NA,190,15,5104,2019-11-10,2019-46,AR
California,2019,46,NA,2.44972,NA,NA,NA,NA,NA,NA,1480,123,60415,2019-11-10,2019-46,CA
Colorado,2019,46,NA,2.98331,NA,NA,NA,NA,NA,NA,1112,70,37274,2019-11-10,2019-46,CO
Connecticut,2019,46,NA,2.02981,NA,NA,NA,NA,NA,NA,824,77,40595,2019-11-10,2019-46,CT
Delaware,2019,46,NA,0.0795545,NA,NA,NA,NA,NA,NA,1,6,1257,2019-11-10,2019-46,DE
District of Columbia,2019,46,NA,1.79881,NA,NA,NA,NA,NA,NA,238,5,13231,2019-11-10,2019-46,DC
Florida,2019,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-10,2019-46,FL
Georgia,2019,46,NA,4.49702,NA,NA,NA,NA,NA,NA,3545,93,78830,2019-11-10,2019-46,GA
Hawaii,2019,46,NA,2.73814,NA,NA,NA,NA,NA,NA,71,17,2593,2019-11-10,2019-46,HI
Idaho,2019,46,NA,0.352319,NA,NA,NA,NA,NA,NA,6,8,1703,2019-11-10,2019-46,ID
Illinois,2019,46,NA,2.01101,NA,NA,NA,NA,NA,NA,1662,193,82645,2019-11-10,2019-46,IL
Indiana,2019,46,NA,1.80357,NA,NA,NA,NA,NA,NA,101,26,5600,2019-11-10,2019-46,IN
Iowa,2019,46,NA,1.10834,NA,NA,NA,NA,NA,NA,80,20,7218,2019-11-10,2019-46,IA
Kansas,2019,46,NA,1.77803,NA,NA,NA,NA,NA,NA,248,32,13948,2019-11-10,2019-46,KS
Kentucky,2019,46,NA,2.51122,NA,NA,NA,NA,NA,NA,330,43,13141,2019-11-10,2019-46,KY
Louisiana,2019,46,NA,9.57975,NA,NA,NA,NA,NA,NA,5398,102,56348,2019-11-10,2019-46,LA
Maine,2019,46,NA,1.10982,NA,NA,NA,NA,NA,NA,162,55,14597,2019-11-10,2019-46,ME
Maryland,2019,46,NA,2.16577,NA,NA,NA,NA,NA,NA,1064,73,49128,2019-11-10,2019-46,MD
Massachusetts,2019,46,NA,1.46429,NA,NA,NA,NA,NA,NA,868,76,59278,2019-11-10,2019-46,MA
Michigan,2019,46,NA,1.04618,NA,NA,NA,NA,NA,NA,285,83,27242,2019-11-10,2019-46,MI
Minnesota,2019,46,NA,2.43498,NA,NA,NA,NA,NA,NA,191,21,7844,2019-11-10,2019-46,MN
Mississippi,2019,46,NA,5.02775,NA,NA,NA,NA,NA,NA,897,46,17841,2019-11-10,2019-46,MS
Missouri,2019,46,NA,1.57008,NA,NA,NA,NA,NA,NA,55,14,3503,2019-11-10,2019-46,MO
Montana,2019,46,NA,1.1386,NA,NA,NA,NA,NA,NA,104,40,9134,2019-11-10,2019-46,MT
Nebraska,2019,46,NA,2.68822,NA,NA,NA,NA,NA,NA,321,66,11941,2019-11-10,2019-46,NE
Nevada,2019,46,NA,3.33819,NA,NA,NA,NA,NA,NA,412,33,12342,2019-11-10,2019-46,NV
New Hampshire,2019,46,NA,0.418799,NA,NA,NA,NA,NA,NA,9,13,2149,2019-11-10,2019-46,NH
New Jersey,2019,46,NA,3.17628,NA,NA,NA,NA,NA,NA,993,41,31263,2019-11-10,2019-46,NJ
New Mexico,2019,46,NA,2.52861,NA,NA,NA,NA,NA,NA,612,50,24203,2019-11-10,2019-46,NM
New York,2019,46,NA,1.37191,NA,NA,NA,NA,NA,NA,763,136,55616,2019-11-10,2019-46,NY
North Carolina,2019,46,NA,1.56202,NA,NA,NA,NA,NA,NA,1566,168,100255,2019-11-10,2019-46,NC
North Dakota,2019,46,NA,1.92653,NA,NA,NA,NA,NA,NA,75,16,3893,2019-11-10,2019-46,ND
Ohio,2019,46,NA,0.932317,NA,NA,NA,NA,NA,NA,181,52,19414,2019-11-10,2019-46,OH
Oklahoma,2019,46,NA,2.93991,NA,NA,NA,NA,NA,NA,274,28,9320,2019-11-10,2019-46,OK
Oregon,2019,46,NA,1.06238,NA,NA,NA,NA,NA,NA,443,96,41699,2019-11-10,2019-46,OR
Pennsylvania,2019,46,NA,1.47832,NA,NA,NA,NA,NA,NA,734,125,49651,2019-11-10,2019-46,PA
Rhode Island,2019,46,NA,0.459629,NA,NA,NA,NA,NA,NA,30,23,6527,2019-11-10,2019-46,RI
South Carolina,2019,46,NA,3.94737,NA,NA,NA,NA,NA,NA,351,26,8892,2019-11-10,2019-46,SC
South Dakota,2019,46,NA,1.17585,NA,NA,NA,NA,NA,NA,156,31,13267,2019-11-10,2019-46,SD
Tennessee,2019,46,NA,2.96013,NA,NA,NA,NA,NA,NA,1240,90,41890,2019-11-10,2019-46,TN
Texas,2019,46,NA,4.78979,NA,NA,NA,NA,NA,NA,1456,111,30398,2019-11-10,2019-46,TX
Utah,2019,46,NA,2.2681,NA,NA,NA,NA,NA,NA,390,51,17195,2019-11-10,2019-46,UT
Vermont,2019,46,NA,1.12664,NA,NA,NA,NA,NA,NA,54,17,4793,2019-11-10,2019-46,VT
Virginia,2019,46,NA,2.55936,NA,NA,NA,NA,NA,NA,2576,160,100650,2019-11-10,2019-46,VA
Washington,2019,46,NA,1.78561,NA,NA,NA,NA,NA,NA,310,58,17361,2019-11-10,2019-46,WA
West Virginia,2019,46,NA,1.3422,NA,NA,NA,NA,NA,NA,220,51,16391,2019-11-10,2019-46,WV
Wisconsin,2019,46,NA,1.39848,NA,NA,NA,NA,NA,NA,316,44,22596,2019-11-10,2019-46,WI
Wyoming,2019,46,NA,1.15771,NA,NA,NA,NA,NA,NA,53,20,4578,2019-11-10,2019-46,WY
Commonwealth of the Northern Mariana Islands,2019,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-10,2019-46,NA
Puerto Rico,2019,46,NA,7.35398,NA,NA,NA,NA,NA,NA,311,9,4229,2019-11-10,2019-46,PR
Virgin Islands,2019,46,NA,0.873362,NA,NA,NA,NA,NA,NA,6,2,687,2019-11-10,2019-46,VI
New York City,2019,46,NA,2.37719,NA,NA,NA,NA,NA,NA,2318,71,97510,2019-11-10,2019-46,NA
Alabama,2019,47,NA,4.66176,NA,NA,NA,NA,NA,NA,2332,94,50024,2019-11-17,2019-47,AL
Alaska,2019,47,NA,2.01203,NA,NA,NA,NA,NA,NA,97,17,4821,2019-11-17,2019-47,AK
Arizona,2019,47,NA,2.71652,NA,NA,NA,NA,NA,NA,388,30,14283,2019-11-17,2019-47,AZ
Arkansas,2019,47,NA,3.12874,NA,NA,NA,NA,NA,NA,183,16,5849,2019-11-17,2019-47,AR
California,2019,47,NA,2.39462,NA,NA,NA,NA,NA,NA,1531,120,63935,2019-11-17,2019-47,CA
Colorado,2019,47,NA,3.22949,NA,NA,NA,NA,NA,NA,1216,70,37653,2019-11-17,2019-47,CO
Connecticut,2019,47,NA,2.45252,NA,NA,NA,NA,NA,NA,1024,80,41753,2019-11-17,2019-47,CT
Delaware,2019,47,NA,0.142959,NA,NA,NA,NA,NA,NA,2,6,1399,2019-11-17,2019-47,DE
District of Columbia,2019,47,NA,2.14897,NA,NA,NA,NA,NA,NA,324,5,15077,2019-11-17,2019-47,DC
Florida,2019,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-17,2019-47,FL
Georgia,2019,47,NA,5.21838,NA,NA,NA,NA,NA,NA,3668,95,70290,2019-11-17,2019-47,GA
Hawaii,2019,47,NA,3.22474,NA,NA,NA,NA,NA,NA,98,19,3039,2019-11-17,2019-47,HI
Idaho,2019,47,NA,1.20482,NA,NA,NA,NA,NA,NA,18,7,1494,2019-11-17,2019-47,ID
Illinois,2019,47,NA,2.11059,NA,NA,NA,NA,NA,NA,1794,191,85000,2019-11-17,2019-47,IL
Indiana,2019,47,NA,1.41648,NA,NA,NA,NA,NA,NA,77,26,5436,2019-11-17,2019-47,IN
Iowa,2019,47,NA,0.918422,NA,NA,NA,NA,NA,NA,68,19,7404,2019-11-17,2019-47,IA
Kansas,2019,47,NA,1.42391,NA,NA,NA,NA,NA,NA,205,31,14397,2019-11-17,2019-47,KS
Kentucky,2019,47,NA,2.77164,NA,NA,NA,NA,NA,NA,364,39,13133,2019-11-17,2019-47,KY
Louisiana,2019,47,NA,11.0382,NA,NA,NA,NA,NA,NA,6576,100,59575,2019-11-17,2019-47,LA
Maine,2019,47,NA,1.22556,NA,NA,NA,NA,NA,NA,183,55,14932,2019-11-17,2019-47,ME
Maryland,2019,47,NA,2.19271,NA,NA,NA,NA,NA,NA,1121,72,51124,2019-11-17,2019-47,MD
Massachusetts,2019,47,NA,1.4374,NA,NA,NA,NA,NA,NA,879,76,61152,2019-11-17,2019-47,MA
Michigan,2019,47,NA,1.23582,NA,NA,NA,NA,NA,NA,304,82,24599,2019-11-17,2019-47,MI
Minnesota,2019,47,NA,2.72668,NA,NA,NA,NA,NA,NA,209,20,7665,2019-11-17,2019-47,MN
Mississippi,2019,47,NA,6.063,NA,NA,NA,NA,NA,NA,1151,47,18984,2019-11-17,2019-47,MS
Missouri,2019,47,NA,1.23077,NA,NA,NA,NA,NA,NA,44,15,3575,2019-11-17,2019-47,MO
Montana,2019,47,NA,1.18399,NA,NA,NA,NA,NA,NA,137,42,11571,2019-11-17,2019-47,MT
Nebraska,2019,47,NA,3.49316,NA,NA,NA,NA,NA,NA,467,67,13369,2019-11-17,2019-47,NE
Nevada,2019,47,NA,3.00172,NA,NA,NA,NA,NA,NA,385,33,12826,2019-11-17,2019-47,NV
New Hampshire,2019,47,NA,0.613228,NA,NA,NA,NA,NA,NA,14,13,2283,2019-11-17,2019-47,NH
New Jersey,2019,47,NA,2.93343,NA,NA,NA,NA,NA,NA,947,41,32283,2019-11-17,2019-47,NJ
New Mexico,2019,47,NA,3.12916,NA,NA,NA,NA,NA,NA,799,51,25534,2019-11-17,2019-47,NM
New York,2019,47,NA,1.44615,NA,NA,NA,NA,NA,NA,826,135,57117,2019-11-17,2019-47,NY
North Carolina,2019,47,NA,1.67733,NA,NA,NA,NA,NA,NA,1751,167,104392,2019-11-17,2019-47,NC
North Dakota,2019,47,NA,1.89717,NA,NA,NA,NA,NA,NA,69,13,3637,2019-11-17,2019-47,ND
Ohio,2019,47,NA,1.0583,NA,NA,NA,NA,NA,NA,222,50,20977,2019-11-17,2019-47,OH
Oklahoma,2019,47,NA,2.95654,NA,NA,NA,NA,NA,NA,300,28,10147,2019-11-17,2019-47,OK
Oregon,2019,47,NA,1.8385,NA,NA,NA,NA,NA,NA,798,96,43405,2019-11-17,2019-47,OR
Pennsylvania,2019,47,NA,1.6982,NA,NA,NA,NA,NA,NA,903,130,53174,2019-11-17,2019-47,PA
Rhode Island,2019,47,NA,0.494382,NA,NA,NA,NA,NA,NA,33,23,6675,2019-11-17,2019-47,RI
South Carolina,2019,47,NA,3.97771,NA,NA,NA,NA,NA,NA,414,25,10408,2019-11-17,2019-47,SC
South Dakota,2019,47,NA,1.65146,NA,NA,NA,NA,NA,NA,190,32,11505,2019-11-17,2019-47,SD
Tennessee,2019,47,NA,3.82892,NA,NA,NA,NA,NA,NA,1649,84,43067,2019-11-17,2019-47,TN
Texas,2019,47,NA,6.49962,NA,NA,NA,NA,NA,NA,2114,114,32525,2019-11-17,2019-47,TX
Utah,2019,47,NA,2.50505,NA,NA,NA,NA,NA,NA,496,51,19800,2019-11-17,2019-47,UT
Vermont,2019,47,NA,0.872211,NA,NA,NA,NA,NA,NA,43,17,4930,2019-11-17,2019-47,VT
Virginia,2019,47,NA,2.88598,NA,NA,NA,NA,NA,NA,3005,160,104124,2019-11-17,2019-47,VA
Washington,2019,47,NA,2.69907,NA,NA,NA,NA,NA,NA,602,58,22304,2019-11-17,2019-47,WA
West Virginia,2019,47,NA,1.24365,NA,NA,NA,NA,NA,NA,208,50,16725,2019-11-17,2019-47,WV
Wisconsin,2019,47,NA,1.53852,NA,NA,NA,NA,NA,NA,417,48,27104,2019-11-17,2019-47,WI
Wyoming,2019,47,NA,1.07892,NA,NA,NA,NA,NA,NA,54,20,5005,2019-11-17,2019-47,WY
Commonwealth of the Northern Mariana Islands,2019,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-17,2019-47,NA
Puerto Rico,2019,47,NA,6.61174,NA,NA,NA,NA,NA,NA,321,11,4855,2019-11-17,2019-47,PR
Virgin Islands,2019,47,NA,0.769231,NA,NA,NA,NA,NA,NA,5,2,650,2019-11-17,2019-47,VI
New York City,2019,47,NA,2.52914,NA,NA,NA,NA,NA,NA,2602,74,102881,2019-11-17,2019-47,NA
Alabama,2019,48,NA,4.70394,NA,NA,NA,NA,NA,NA,2048,98,43538,2019-11-24,2019-48,AL
Alaska,2019,48,NA,2.24646,NA,NA,NA,NA,NA,NA,103,18,4585,2019-11-24,2019-48,AK
Arizona,2019,48,NA,2.86129,NA,NA,NA,NA,NA,NA,276,29,9646,2019-11-24,2019-48,AZ
Arkansas,2019,48,NA,3.65809,NA,NA,NA,NA,NA,NA,101,13,2761,2019-11-24,2019-48,AR
California,2019,48,NA,2.75574,NA,NA,NA,NA,NA,NA,1202,120,43618,2019-11-24,2019-48,CA
Colorado,2019,48,NA,3.70322,NA,NA,NA,NA,NA,NA,1132,70,30568,2019-11-24,2019-48,CO
Connecticut,2019,48,NA,2.61969,NA,NA,NA,NA,NA,NA,1015,78,38745,2019-11-24,2019-48,CT
Delaware,2019,48,NA,0.614125,NA,NA,NA,NA,NA,NA,6,7,977,2019-11-24,2019-48,DE
District of Columbia,2019,48,NA,2.63357,NA,NA,NA,NA,NA,NA,279,5,10594,2019-11-24,2019-48,DC
Florida,2019,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-24,2019-48,FL
Georgia,2019,48,NA,5.74121,NA,NA,NA,NA,NA,NA,4381,98,76308,2019-11-24,2019-48,GA
Hawaii,2019,48,NA,3.63959,NA,NA,NA,NA,NA,NA,82,18,2253,2019-11-24,2019-48,HI
Idaho,2019,48,NA,1.17532,NA,NA,NA,NA,NA,NA,12,8,1021,2019-11-24,2019-48,ID
Illinois,2019,48,NA,2.54323,NA,NA,NA,NA,NA,NA,1990,193,78247,2019-11-24,2019-48,IL
Indiana,2019,48,NA,2.14118,NA,NA,NA,NA,NA,NA,64,26,2989,2019-11-24,2019-48,IN
Iowa,2019,48,NA,1.51327,NA,NA,NA,NA,NA,NA,61,19,4031,2019-11-24,2019-48,IA
Kansas,2019,48,NA,1.81893,NA,NA,NA,NA,NA,NA,221,32,12150,2019-11-24,2019-48,KS
